Sr. No.,States/ UTs,"Murder (Sec 302, 303 IPC)",Attempt to Commit Murder (Sec 307 IPC),"CH. not Amounting to Murder (Sec 304, 308 IPC)",Rape (Sec 376 IPC),"Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Women & Girls","Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Others","Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Total",Dacoity (Sec 395 - 398 IPC),Preparation & Assembly for Dacoity (Sec 399 - 402 IPC),"Robbery (Sec 392- 394, 397, 398 IPC)","Burglary (Sec 449- 452, 454, 455, 457- 460 IPC)",Theft (Sec 379- 382 IPC),"Riots (Sec 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)","Arson (Sec 435, 436, 438 IPC)","Hurt (Sec 323- 333, 335- 338 IPC)",Causing Death by Negligence (Sec 304A IPC),Other IPC Crimes,Total IPC Crimes
1,Andhra Pradesh,28,3,0,0,1,5,6,3,0,6,0,797,1,0,26,7,172,1049
2,Assam,4,1,0,2,2,3,5,4,0,5,4,105,9,0,17,4,130,290
3,Bihar,59,7,2,3,7,16,23,40,8,62,16,1198,36,0,13,8,685,2160
4,Chhattisgarh,5,5,0,2,1,0,1,0,0,6,11,238,5,1,17,2,92,385
5,Gujarat,12,1,0,2,4,0,4,2,2,47,16,940,5,0,32,4,540,1607
6,Haryana,13,8,1,2,2,0,2,1,1,5,3,195,11,0,21,17,579,859
7,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,3,10
8,Jammu & Kashmir,0,1,0,0,1,0,1,0,0,0,0,9,0,1,0,1,8,21
9,Jharkhand,13,0,0,2,1,3,4,29,0,29,9,148,5,0,5,2,257,503
10,Karnataka,17,1,1,0,0,1,1,1,0,6,5,475,9,0,17,0,73,606
11,Kerala,0,0,0,0,0,0,0,0,1,6,3,157,4,0,19,0,32,222
12,Madhya Pradesh,7,3,2,4,1,0,1,1,1,34,24,1673,7,3,34,2,642,2438
13,Maharashtra,15,4,1,3,8,2,10,11,2,50,8,2636,23,0,64,4,305,3136
14,Orissa,5,4,0,2,4,0,4,1,2,12,16,382,4,1,18,5,185,641
15,Punjab,5,3,0,1,0,1,1,1,0,0,0,29,0,1,12,0,242,295
16,Rajasthan,4,3,0,2,2,0,2,1,1,9,0,467,4,0,5,2,416,916
17,Tamil Nadu,2,1,0,0,0,0,0,1,0,3,5,169,11,0,51,7,323,573
18,Uttar Pradesh,15,16,2,3,1,3,4,10,1,32,4,1102,13,0,9,2,789,2002
19,West Bengal,31,10,7,4,10,10,20,4,108,8,0,676,18,0,16,5,257,1164
20,Delhi (UT),16,4,1,2,1,3,4,0,1,6,2,1053,1,2,9,0,100,1201
Total (All-India),Total (All-India),251,75,17,34,46,47,93,110,128,326,128,12454,166,9,385,72,5830,20078
